Detailed Car Title,Seller Location,Phone Number,E-car Producer,First Registration,Charge Rate,Price ($),Current Mileage,Max Speed (km/h),Battery (kWh),Engine Capacity (p.h.),Car URL
MERCEDES EQE Specification,"Guandong, China",,MERCEDES,2022,471,,,180,90,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-eqe
MERCEDES EQS Specification,"Guandong, China",,MERCEDES,2022,450,,,180,80,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-eqs
BMW IX3 Specification,"Guandong, China",,BMW,2022,520,,,180,80,282,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/bmw-ix3-440
AUDI Q4 E TRON Specification,"Guandong, China",,,,,,,,,,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/audi-q4-e-tron-439
Hongqi E HS9 Specification,"Guandong, China",,DONGFENG,2022,510,,,,99,551,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/hongqi-e-hs9-438
FAW Hongqi E QM5 Specification,"Guandong, China",,DONGFENG,2021,431,,,160,55,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/faw-hongqi-e-qm5
DONGFENG MNV Specification,"Guandong, China",,DONGFENG,2022,480,,,140,61.3,140,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/dongfeng-mnv
GAC EA6 Specification,"Guandong, China",,GAC Motor,2022,460,,,--,58.8,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-ea6
HONDA ENP1 Specification,"Guandong, China",,HONDA,2022,420,,,150,53.6,182,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-enp1
Honda VE1 Specification,"Guandong, China",,HONDA,2022,340,,,140,58.8,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-ve1
Buick VELITE 7 Specification,"Guandong, China",,other,2022,500,,,--,55.6,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/buick-velite-7
Chevrolet MENLO Specification,"Guandong, China",,CHEVROLET,2022,518,,,150,52.2,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/chevrolet-menlo
GAC AION LX Specification,"Guandong, China",,GAC Motor,2022,600,,,170,73,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-lx
GAC AION S Specification,"Guandong, China",,GAC Motor,2022,460,,,130,58.8,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-s
GAC AION V PLUS Specification,"Guandong, China",,GAC Motor,2022,500,,,--,70,221,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-v-plus
GAC AION Y 90 Specification,"Guandong, China",,GAC Motor,2022,410,,,160,55.5,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-y-90
VOYAH FREE Specification,"Guandong, China",,Voyah,2022,475,,,200,88,694,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-free-426
VOYAH DREAMER Specification,"Guandong, China",,Voyah,2022,600,,,200,108,217,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-dreamer
Arcfox Alpha T Specification,"Guandong, China",,other,2022,480,,,180,67.3,215,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/arcfox-alpha-t
GAC EA6 Specification,"Guandong, China",,GAC Motor,2022,460,,,--,58.8,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-ea6
HONDA ENP1 Specification,"Guandong, China",,HONDA,2022,420,,,150,53.6,182,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-enp1
Honda VE1 Specification,"Guandong, China",,HONDA,2022,340,,,140,58.8,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-ve1
Buick VELITE 7 Specification,"Guandong, China",,other,2022,500,,,--,55.6,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/buick-velite-7
Chevrolet MENLO Specification,"Guandong, China",,CHEVROLET,2022,518,,,150,52.2,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/chevrolet-menlo
GAC AION LX Specification,"Guandong, China",,GAC Motor,2022,600,,,170,73,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-lx
GAC AION S Specification,"Guandong, China",,GAC Motor,2022,460,,,130,58.8,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-s
GAC AION V PLUS Specification,"Guandong, China",,GAC Motor,2022,500,,,--,70,221,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-v-plus
GAC AION Y 90 Specification,"Guandong, China",,GAC Motor,2022,410,,,160,55.5,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-y-90
VOYAH FREE Specification,"Guandong, China",,Voyah,2022,475,,,200,88,694,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-free-426
VOYAH DREAMER Specification,"Guandong, China",,Voyah,2022,600,,,200,108,217,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-dreamer
Arcfox Alpha T Specification,"Guandong, China",,other,2022,480,,,180,67.3,215,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/arcfox-alpha-t
ARCFOX Alpha S Specification,"Guandong, China",,other,2022,525,,,200,67.3,214,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/arcfox-alpha-s
DongFeng Honda ENS1 Specification,"Guandong, China",,DONGFENG,2022,510,,,150,68.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/dongfeng-honda-ens1
Audi E TRON 50 QUATTRO Specification,"Guandong, China",,AUDI,2022,488,,,180ё,82,295,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/audi-e-tron-50-quattro
Volvo XC40 Specification,"Guandong, China",,VOLVO,2022,418,,,180,78,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volvo-xc40
Volvo C40 Specification,"Guandong, China",,VOLVO,2022,350,,,180,75.0,228,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volvo-c40
Mercedes Benz EQC 350 Specification,"Guandong, China",,,,,,,,,,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-benz-eqc-350
Mercedes Benz EQC Specification,"Guandong, China",,MERCEDES,2022,370,,,180,85.0,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-benz-eqc
ID 4 CROZZ Specification,"Guandong, China",,VOLKSWAGEN,2022,285,,,160,52.0,180,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/id-4-crozz
VOLKSWAGEN ID6 CROZZ Specification,"Guandong, China",,VOLKSWAGEN,2022,600,,,160,84.8,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id6-crozz-415
Mercedes Benz EQA 260 Specification,"Guandong, China",,MERCEDES,2022,375,,,160,70.5,190,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-benz-eqa-260
Xpeng G3i 520N+ Specification,SHENZHEN; China,,XPENG,2022,520,26 994,,170,66.2,197,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xpeng-g3i-520n
Xpeng P7 Specification,SHENZHEN; China,,XPENG,2022,670,39 431,,170,83.1,263,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xpeng-p7-412
Xpeng P7 480N+ Specification,SHENZHEN; China,,XPENG,2022,480,35 050,,170,60.2,424,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xpeng-p7-480n
Voyah Dreammaker (pure electric) Specification,SHENZHEN; China,,Voyah,2022,605,64 730,,200,108.7,210,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-dreammaker-pure-electric
Leapmotor C11 (Performance) Specification,SHENZHEN; China,,Leap Motor,2021,550,29 679,,170,89.97,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/leapmotor-c11-performance
ZEEKR 001 YOU Specification,SHENZHEN; China,,ZEEKR,2022,650,53 847,,210,108.8,536,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/zeekr-001-you-408
Volkswagen ID6 CROZZ PURE + Specification,SHENZHEN; China,,VOLKSWAGEN,2022,600,36 746,,160,84.8,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id6-crozz-pure
2022 BYD Seal (Full drive) Specification,SHENZHEN; China,,BYD Auto,2022,650,39 997,,180,82.5,520,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/2022-byd-seal-full-drive
Qin Plus EV Specification,SHENZHEN; China,,BYD Auto,2021,400,25 109,,150,47.5,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/qin-plus-ev
BYD TANG (Full drive) Specification,SHENZHEN; China,,BYD Auto,2022,635,47 240,,180,108,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-tang-full-drive
AITO M7 (top version) Specification,SHENZHEN; China,,other,2022,165,52 631,,--,40,449,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/aito-m7-top-version
AITO M5 (top version) Specification,SHENZHEN; China,,other,2022,552,46 105,,210,79.93,496,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/aito-m5-top-version
ID.4 CROZZ Pure+ Specification,Hunan; China .,,VOLKSWAGEN,2022,550,43 563,,160,84.8,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/id-4-crozz-pure
Volkswagen ID.6X Prime Specification,Hunan; China.,,VOLKSWAGEN,2022,510,41 900,,160,77,313,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-6x-prime
Xpeng P7 480N+ Specification,SHENZHEN; China,,XPENG,2022,480,35 050,,170,60.2,424,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xpeng-p7-480n
Voyah Dreammaker (pure electric) Specification,SHENZHEN; China,,Voyah,2022,605,64 730,,200,108.7,210,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-dreammaker-pure-electric
Leapmotor C11 (Performance) Specification,SHENZHEN; China,,Leap Motor,2021,550,29 679,,170,89.97,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/leapmotor-c11-performance
ZEEKR 001 YOU Specification,SHENZHEN; China,,ZEEKR,2022,650,53 847,,210,108.8,536,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/zeekr-001-you-408
Volkswagen ID6 CROZZ PURE + Specification,SHENZHEN; China,,VOLKSWAGEN,2022,600,36 746,,160,84.8,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id6-crozz-pure
2022 BYD Seal (Full drive) Specification,SHENZHEN; China,,BYD Auto,2022,650,39 997,,180,82.5,520,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/2022-byd-seal-full-drive
Qin Plus EV Specification,SHENZHEN; China,,BYD Auto,2021,400,25 109,,150,47.5,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/qin-plus-ev
BYD TANG (Full drive) Specification,SHENZHEN; China,,BYD Auto,2022,635,47 240,,180,108,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-tang-full-drive
AITO M7 (top version) Specification,SHENZHEN; China,,other,2022,165,52 631,,--,40,449,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/aito-m7-top-version
AITO M5 (top version) Specification,SHENZHEN; China,,other,2022,552,46 105,,210,79.93,496,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/aito-m5-top-version
ID.4 CROZZ Pure+ Specification,Hunan; China .,,VOLKSWAGEN,2022,550,43 563,,160,84.8,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/id-4-crozz-pure
Volkswagen ID.6X Prime Specification,Hunan; China.,,VOLKSWAGEN,2022,510,41 900,,160,77,313,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-6x-prime
Volkswagen ID.4 X PRIME Specification,Hunan; China,,VOLKSWAGEN,2022,405,35 700,,180,82,261,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-4-x-prime
Volkswagen ID.4 Lite Pro Specification,Hunan; China,,VOLKSWAGEN,2022,550,,,160,84.8,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-4-lite-pro
Volkswagen ID4 X PURE + Specification,Hunan; China,,VOLKSWAGEN,2022,285,28 500,,160,52.0,180,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-pure-397
Volkswagen ID.4 Pure+ X Specification,Hunan; China,,VOLKSWAGEN,2022,280,,,160,83.4,168,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-4-pure-x
Roewe Rising Auto ER6 Specification,Hunan; China,,other,2022,620,24 200,,185,69.9,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/roewe-rising-auto-er6
Tesla Model Y 2021 Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2021,507,70 765,,217,75,346,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-y-2021
Tesla Model X Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2020,507,99 570,,250,100,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-maximum-range
Tesla Model X 100D Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,565,83 224,,250,100,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-100d-392
Tesla Model X 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2022,,78 739,,250,100,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-100d-maximum-range-391
Tesla Model X 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,565,73 555,,250,100,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-100d-maximum-range-390
Tesla Model X 100D Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2016,542,72 988,,250,100,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-100d-389
Tesla Model 3 AWD Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2020,560,55 317,,233,75,435,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3-awd
Tesla Model 3 Maximum Range AWD Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,560,49 834,,233,75,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3-maximum-range-awd
Tesla Model 3 2019 AWD Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,560,49 834,,233,75,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3-2019-awd
Tesla Model 3 Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,560,46 844,,233,75,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3
Tesla Model S 100D Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,613,74 751,,250,100,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-100d-384
Tesla Model S 100D Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,632,73 257,,250,100,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-100d-383
2018 Model S 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,632,69 869,,250,100,603,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-382
2018 Model S 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,632,66 878,,250,100,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-381
2018 Model S 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,632,63 091,,250,100,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-380
2018 Model S 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,632,62 791,,250,100,603,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-379
Tesla Model S D100 Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2017,632,56 313,,225,100,603,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-d100
Tesla Model S 75D Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,490,49 969,,225,75,422,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-75d
Tesla Model S 75D 2016 Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2016,490,43 981,,250,75,328,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-75d-2016
Tesla Model 3 Maximum Range AWD Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,560,49 834,,233,75,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3-maximum-range-awd
Tesla Model 3 2019 AWD Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,560,49 834,,233,75,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3-2019-awd
Tesla Model 3 Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,560,46 844,,233,75,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3
Tesla Model S 100D Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,613,74 751,,250,100,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-100d-384
Tesla Model S 100D Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2019,632,73 257,,250,100,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-100d-383
2018 Model S 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,632,69 869,,250,100,603,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-382
2018 Model S 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,632,66 878,,250,100,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-381
2018 Model S 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,632,63 091,,250,100,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-380
2018 Model S 100D Maximum range Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,632,62 791,,250,100,603,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-379
Tesla Model S D100 Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2017,632,56 313,,225,100,603,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-d100
Tesla Model S 75D Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2018,490,49 969,,225,75,422,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-75d
Tesla Model S 75D 2016 Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2016,490,43 981,,250,75,328,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-75d-2016
Tesla Model S 2017 90D Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,TESLA,2017,557,53 977,,250,93,690,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-2017-90d
BMW i4 M50 Specification,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,BMW,2022,510,88 554,,225,83.9,537,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-i4-m50-374
BMW i4 eDrive40 Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,BMW,2022,590,69 156,,190,83.9,335,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-i4-edrive40
BMW iX M60 Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,BMW,2022,565,141 230,,250,112,611,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-ix-m60
BMW iX xDrive50 Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,BMW,2022,630,116 150,,200,112,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-ix-xdrive50
BMW iX xDrive40 Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,BMW,2022,425,84 738,,200,76.6,322,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-ix-xdrive40
Porsche Taycan Turbo Sport Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,419,188 207,,250,93.4,751,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-sport-369
Porsche Taycan Turbo Cross Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,452,169 276,,250,93.7,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-cross
BMW iX3 Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,BMW,2022,520,67 410,,180,80,282,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-ix3-367
Mercedes-Benz EQS 580 4Matic Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,MERCEDES,2022,560,196 671,,210,108,516,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/mercedes-benz-eqs-580-4matic
Porsche Taycan Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2021,431,104 480,,230,79.2,379,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-365
Porsche Taycan Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,431,117 708,,230,79.2,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-364
Porsche Taycan Turbo Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2020,450,133 107,,260,93.4,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo
Porsche Taycan Turbo Sport Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,491,164 652,,260,3.2,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-sport-362
Porsche Taycan Turbo S Sport Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,412,221 747,,260,93.4,751,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-s-sport-tur
Porsche Taycan Sport Turismo Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,433,118 225,,230,79.2,322,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-sport-turismo
Porsche Taycan GTS | Hockenheim Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,504,188 479,,250,93.4,590,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-gts-hockenheim
Porsche Taycan | GTS Sport Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,490,167 886,,250,93.4,590,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-gts-sport
Porsche Taycan 4S | SportDesign Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2021,407,121 307,,250,79.2,523,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4s-sportdesign
Porsche Taycan 4S | Performance Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2021,462,112 928,,250,93.4,563,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4s-performance
Porsche Taycan 4S Specification,Dr.-Wandinger-Strasse 5 94447 Plattling,,PORSCHE,2021,407,123 130,,250,79.2,523,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4s
Porsche Taycan 4 Cross Turismo Specification,,,PORSCHE,2022,456,124 356,,220,93.4,470,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4-cross-turismo-354
Porsche Taycan 4 Cross Turismo Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,452,131 615,,220,93.4,476 (launch control),https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4-cross-turismo-353
BYD YUAN Flagship Specification,Hunan; China,,BYD Auto,2022,510,25 500,,175,60.48,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-yuan-flagship
Porsche Taycan Turbo Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2020,450,133 107,,260,93.4,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo
Porsche Taycan Turbo Sport Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,491,164 652,,260,3.2,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-sport-362
Porsche Taycan Turbo S Sport Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,412,221 747,,260,93.4,751,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-s-sport-tur
Porsche Taycan Sport Turismo Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,433,118 225,,230,79.2,322,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-sport-turismo
Porsche Taycan GTS | Hockenheim Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,504,188 479,,250,93.4,590,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-gts-hockenheim
Porsche Taycan | GTS Sport Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,490,167 886,,250,93.4,590,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-gts-sport
Porsche Taycan 4S | SportDesign Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2021,407,121 307,,250,79.2,523,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4s-sportdesign
Porsche Taycan 4S | Performance Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2021,462,112 928,,250,93.4,563,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4s-performance
Porsche Taycan 4S Specification,Dr.-Wandinger-Strasse 5 94447 Plattling,,PORSCHE,2021,407,123 130,,250,79.2,523,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4s
Porsche Taycan 4 Cross Turismo Specification,,,PORSCHE,2022,456,124 356,,220,93.4,470,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4-cross-turismo-354
Porsche Taycan 4 Cross Turismo Specification,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,,PORSCHE,2022,452,131 615,,220,93.4,476 (launch control),https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4-cross-turismo-353
